"matched_feature","hits","percent_of_all_hits","cumulative_percent"
"claim",108,25.2336448598131,25.2336448598131
"denied",56,13.0841121495327,38.3177570093458
"claims",52,12.1495327102804,50.4672897196262
"wait",44,10.2803738317757,60.7476635514019
"waiting",40,9.34579439252336,70.0934579439252
"appeal",31,7.24299065420561,77.3364485981308
"transfer",27,6.30841121495327,83.6448598130841
"denial",26,6.07476635514019,89.7196261682243
"paperwork",16,3.73831775700935,93.4579439252336
"transferred",16,3.73831775700935,97.196261682243
"denial_letter",12,2.80373831775701,100
