topic_number,topic_label,pearson_log_esfi_hits,spearman_log_esfi_hits,pearson_esfi_hits,spearman_esfi_hits
11,VA Disability Claims and the PACT Act,0.4614486038181301,0.25866097168874025,0.43955808209831443,0.25866097168874025
9,VA Healthcare and Community Care,0.11587947599108483,0.12072520089644519,0.094038935634559645,0.12072520089644519
6,Service Connection for Military-Related Health Conditions,0.11221819543119062,0.1096684294102219,0.12797036721909477,0.1096684294102219
4,VA Home Loans and Home Buying,-0.042879296937902794,-0.13121688637349896,-0.04896879378542572,-0.13121688637349896
8,"Government, Politics, and Civic Discussion",-0.039472594454094,-0.1608368529001897,-0.03651862670902178,-0.1608368529001897
10,General Discussion and Peer Support,-0.16626850317661812,-0.16983401362985664,-0.16323413640114903,-0.16983401362985664
1,Education Benefits and the GI Bill,-0.07386111401761367,-0.17902301715579522,-0.07556475331035187,-0.17902301715579522
2,"Arts, Entertainment, and Community Events",-0.08847676743509035,-0.21934617421220218,-0.07870412987974734,-0.21934617421220218
3,"Housing Costs, Property Taxes, and Affordability",-0.08361254568563525,-0.22417377344625145,-0.08071628313774974,-0.22417377344625145
12,Entertainment Venues and Local Attractions,-0.062237296472053935,-0.2506718237391053,-0.054447510859647996,-0.2506718237391053
7,Employment and Career Opportunities,-0.16332381100447385,-0.2936429693881229,-0.14188447245867578,-0.2936429693881229
5,Living in Texas and Choosing Where to Live,-0.1785997278532363,-0.294480223641505,-0.16217735336941555,-0.294480223641505
