topic_number,topic_label,ESFI terms present,No ESFI terms,difference
11,VA Disability Claims and the PACT Act,0.3005310754216599,0.06352516033301371,0.2370059150886462
9,VA Healthcare and Community Care,0.20691497777146323,0.12559769265847034,0.08131728511299288
6,Service Connection for Military-Related Health Conditions,0.04984073238305497,0.029026674164146424,0.020814058218908544
4,VA Home Loans and Home Buying,0.058135093554014305,0.06959055870172015,-0.011455465147705846
8,"Government, Politics, and Civic Discussion",0.06801886660511304,0.08443845469439458,-0.01641958808928154
12,Entertainment Venues and Local Attractions,0.0027459281118815794,0.02327676625123676,-0.020530838139355183
1,Education Benefits and the GI Bill,0.06025919098494527,0.08518782831764637,-0.024928637332701106
2,"Arts, Entertainment, and Community Events",0.011343513679350681,0.03988230263617251,-0.028538788956821833
3,"Housing Costs, Property Taxes, and Affordability",0.03251907718833097,0.06274657874715209,-0.030227501558821118
7,Employment and Career Opportunities,0.04162794894747347,0.0909079349337365,-0.04927998598626303
10,General Discussion and Peer Support,0.12315000898751019,0.1758380556266035,-0.05268804663909332
5,Living in Texas and Choosing Where to Live,0.04491358636520242,0.1499819929357071,-0.10506840657050467
