topic_number,topic_label,estimate,standard_error,lower_95,upper_95,t_value,p_value
11,VA Disability Claims and the PACT Act,0.18644561120483402,0.0149001748763028,0.15724126844728054,0.2156499539623875,12.512981408114655,4.687224873089989e-35
9,VA Healthcare and Community Care,0.031386716402818614,0.014821206851336368,0.002337150974199332,0.0604362818314379,2.117689653591779,0.03428343370572305
6,Service Connection for Military-Related Health Conditions,0.02405682873994022,0.008119389217481043,0.008142825873677376,0.03997083160620306,2.9628865048304216,0.0030716509896365706
8,"Government, Politics, and Civic Discussion",0.0071078883796899545,0.009382279466888776,-0.011281379375412048,0.025497156134791955,0.7575865124008053,0.4487580773739883
12,Entertainment Venues and Local Attractions,-0.007241036094922857,0.007454210984920038,-0.02185128962536613,0.007369217435520417,-0.9714020852873045,0.3314264288165286
2,"Arts, Entertainment, and Community Events",-0.012299151797819343,0.0074136411554290415,-0.026829888462460264,0.002231584866821578,-1.6589893602838628,0.09722250079294774
4,VA Home Loans and Home Buying,-0.021795733557588404,0.011372802041365794,-0.04408642555866536,4.949584434885516e-4,-1.91647876031885,0.05539913036255083
3,"Housing Costs, Property Taxes, and Affordability",-0.029166667684446902,0.00931879938607079,-0.04743151448114565,-0.010901820887748152,-3.12987397583036,0.001765627057548546
7,Employment and Career Opportunities,-0.03425081488821721,0.007972331659300724,-0.04987658494044663,-0.018625044835987793,-4.2962104879642515,1.7926557341596513e-5
10,General Discussion and Peer Support,-0.03813822705960749,0.008688393028672187,-0.05516747739580498,-0.021108976723410004,-4.389560524454774,1.1750348306587397e-5
1,Education Benefits and the GI Bill,-0.04056901449996081,0.01086139750287374,-0.061857353605593336,-0.019280675394328282,-3.7351560413130027,1.9109097937107002e-4
5,Living in Texas and Choosing Where to Live,-0.06544780999377113,0.012076874408882634,-0.08911848383518109,-0.04177713615236117,-5.419267252264689,6.458476860346339e-8
