dominant_topic,dominant_topic_label,n_documents,pct_documents,n_with_fragmentation,pct_with_fragmentation,mean_esfi_hits,median_esfi_hits,mean_log_esfi_hits,median_log_esfi_hits,sd_log_esfi_hits
11,VA Disability Claims and the PACT Act,278,0.09242021276595745,123,0.44244604316546765,0.8057553956834537,0,0.4258555990288724,0,0.5356323991083473
6,Service Connection for Military-Related Health Conditions,50,0.016622340425531915,5,0.1,0.31999999999999984,0,0.1352314553760812,0,0.4313159904052484
9,VA Healthcare and Community Care,514,0.17087765957446807,72,0.14007782101167315,0.19066147859922175,0,0.11460572928863104,0,0.3005316061975563
8,"Government, Politics, and Civic Discussion",173,0.05751329787234043,14,0.08092485549132948,0.13872832369942187,0,0.07748764451995219,0,0.27404859889285776
4,VA Home Loans and Home Buying,197,0.06549202127659574,12,0.06091370558375635,0.06598984771573614,0,0.044280361801154834,0,0.17649744573783788
1,Education Benefits and the GI Bill,220,0.07313829787234043,11,0.05,0.0590909090909091,0,0.03834340546534422,0,0.17114344651603108
7,Employment and Career Opportunities,139,0.046210106382978726,4,0.02877697841726619,0.057553956834532426,0,0.027850366984948874,0,0.18145839680685838
3,"Housing Costs, Property Taxes, and Affordability",157,0.052194148936170214,5,0.03184713375796178,0.03184713375796176,0,0.02207475097324668,0,0.12210125612548352
10,General Discussion and Peer Support,624,0.2074468085106383,15,0.02403846153846154,0.03205128205128213,0,0.019533601246197494,0,0.13030347843529308
5,Living in Texas and Choosing Where to Live,507,0.1685505319148936,6,0.011834319526627219,0.011834319526627212,0,0.00820292521372717,0,0.07503099592181423
2,"Arts, Entertainment, and Community Events",96,0.031914893617021274,1,0.010416666666666666,0.01041666666666668,0,0.007220283130832752,0,0.07074403787586106
12,Entertainment Venues and Local Attractions,53,0.01761968085106383,0,0,0,0,0,0,0
