relative_path,size_bytes,modified
publication/figures/figure_1_esfi_by_dominant_topic.pdf,26031,2026-07-25T19:36:49Z
publication/figures/figure_1_esfi_by_dominant_topic.png,367949,2026-07-25T19:36:46Z
publication/figures/figure_2_adjusted_esfi_topic_coefficients.pdf,27762,2026-07-25T19:36:50Z
publication/figures/figure_2_adjusted_esfi_topic_coefficients.png,417980,2026-07-25T19:36:50Z
publication/figures/figure_3_topic_prevalence_by_esfi_presence.pdf,26480,2026-07-25T19:36:50Z
publication/figures/figure_3_topic_prevalence_by_esfi_presence.png,397541,2026-07-25T19:36:50Z
publication/figures/figure_4_veteran_service_topics_by_esfi_presence.pdf,20409,2026-07-25T19:36:51Z
publication/figures/figure_4_veteran_service_topics_by_esfi_presence.png,392174,2026-07-25T19:36:51Z
publication/tables/table_1_corpus_esfi_summary.csv,173,2026-07-25T19:36:46Z
publication/tables/table_1_corpus_esfi_summary.tex,394,2026-07-25T19:36:46Z
publication/tables/table_2_topic_esfi_summary.csv,893,2026-07-25T19:36:46Z
publication/tables/table_2_topic_esfi_summary.tex,1359,2026-07-25T19:36:46Z
publication/tables/table_3_adjusted_esfi_topic_associations.csv,1023,2026-07-25T19:36:46Z
publication/tables/table_3_adjusted_esfi_topic_associations.tex,1388,2026-07-25T19:36:46Z
